,EntrySeconds,AllExchangesVolume,NetProfit,new
31,362.26300000000003,1199885,-64.0,0:04
32,362.26300000000003,1199885,-64.0,0:04
40,211.162,1306272,204.0,0:04
254,176.96900000000002,155511,2046.0,0:04
428,412.07599999999996,161762,-2490.0,0:04
506,300.121,247028,-900.0,0:04
527,260.496,443542,110.0,0:04
610,222.149,748291,-3184.0,0:04
645,136.109,297614,30.0,0:04
655,344.957,910181,440.0,0:04
770,2.255,104237,-136.0,0:04
771,2.255,104237,-136.0,0:04
776,135.135,326049,-446.0,0:04
781,74.99600000000001,188309,-2230.0,0:04
782,66.563,182847,-2080.0,0:04
787,249.283,837608,424.0,0:04
858,66.372,527970,-2080.0,0:04
859,80.416,549750,-1694.0,0:04
1053,403.45,199121,-380.0,0:04
1150,107.20700000000001,725660,660.0,0:04
1154,228.385,883680,770.0,0:04
1156,45.185,634912,920.0,0:04
1252,200.338,189468,-186.0,0:04
1267,393.19699999999995,1926548,386.0,0:04
1432,77.175,3564417,1656.0,0:04
1437,66.37899999999999,485348,24.0,0:04
1438,92.494,585948,-350.0,0:04
1444,94.514,726604,-4090.0,0:04
1445,119.554,793336,-8340.0,0:04
1563,274.722,2553964,12.0,0:04
1705,363.006,203577,100.0,0:04
1764,194.43200000000002,2013824,96.0,0:04
1785,372.102,592109,-148.0,0:04
1805,165.27,1934260,-1146.0,0:04
1815,344.30699999999996,1076262,670.0,0:04
1906,9.161,288818,-140.0,0:04
1942,181.987,634461,-1040.0,0:04
1981,61.398,760781,1216.0,0:04
2011,81.385,793824,1958.0,0:04
2013,266.20099999999996,933899,68.0,0:04
2016,276.867,937599,44.0,0:04
2062,150.43,223820,-624.0,0:04
2063,155.205,227836,-742.0,0:04
2064,150.43,223820,-624.0,0:04
2133,98.131,918008,52.0,0:04
2325,293.263,1147271,-60.0,0:04
2326,384.265,1459617,-540.0,0:04
2462,51.358999999999995,301653,508.0,0:04
2463,270.47700000000003,640599,392.0,0:04
2611,406.659,848881,-414.0,0:04
2612,406.659,848881,-414.0,0:04
2649,404.208,513411,-730.0,0:04
2701,359.783,257910,-198.0,0:04
2812,16.709,151980,-830.0,0:04
2829,222.463,555906,-1970.0,0:04
2880,315.026,665291,-1590.0,0:04
2913,178.657,121714,274.0,0:04
3178,216.618,179681,-206.0,0:04
3246,29.703000000000003,835386,-202.0,0:04
3328,371.73800000000006,203869,298.0,0:04
3371,209.28599999999997,255835,82.0,0:04
3380,400.61,488466,152.0,0:04
3406,419.77,508918,-94.0,0:04
3453,74.441,434427,978.0,0:04
3608,273.488,851474,310.0,0:04
3620,243.924,219869,50.0,0:04
3632,328.78,252806,316.0,0:04
3651,291.85400000000004,794247,-522.0,0:04
3670,211.396,358039,124.0,0:04
3674,211.396,358039,124.0,0:04
3675,231.507,372383,112.0,0:04
3751,409.506,478769,-980.0,0:04
3812,43.023999999999994,225052,-1960.0,0:04
3847,391.165,281618,248.0,0:04
3879,344.529,3321193,-140.0,0:04
4004,76.604,1303855,316.0,0:04
4149,108.132,176328,318.0,0:04
4247,211.09599999999998,358189,28.0,0:04
4327,320.906,623892,-432.0,0:04
4393,360.336,207356,426.0,0:04
4446,147.452,384607,-2510.0,0:04
4447,143.438,379244,-2370.0,0:04
4454,419.75199999999995,222932,818.0,0:04
4464,296.12,132670,236.0,0:04
4557,34.113,255472,-12.0,0:04
4578,224.25,362724,816.0,0:04
4579,208.887,339420,856.0,0:04
4580,214.229,349975,874.0,0:04
4592,91.963,119893,48.0,0:04
4849,32.635999999999996,122519,-336.0,0:04
5042,120.031,391564,-360.0,0:04
5157,158.47799999999998,112981,1158.0,0:04
5172,366.05699999999996,406342,480.0,0:04
5177,351.87199999999996,381278,300.0,0:04
5436,386.041,225021,178.0,0:04
5463,325.126,214475,100.0,0:04
5503,209.287,276181,-2780.0,0:04
5587,201.945,1753316,1510.0,0:04
5588,306.192,1882281,1180.0,0:04
5589,371.05300000000005,2045260,800.0,0:04
5922,305.464,478241,320.0,0:04
5930,85.03200000000001,105884,-4.0,0:04
5966,160.66,339401,72.0,0:04
6068,84.645,270658,-480.0,0:04
6153,163.595,340827,160.0,0:04
